,Destination_Port,Flow_Duration,Total_Length_of_Fwd_Packets,Fwd_Packet_Length_Mean,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Max,Fwd_Header_Length,Fwd_Packets/s,Bwd_Packets/s,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,Average_Packet_Size,Avg_Fwd_Segment_Size,Subflow_Fwd_Bytes,Init_Win_bytes_forward,Active_Min,Idle_Mean,Idle_Max,Idle_Min,Label
0,53,323,90,45.0,107.6666667,182.1601859,318,1,1.0,0.0,1,4,4.0,4,40,6191.950464000001,6191.950464000001,165,93.0,65.7267069,4320.0,116.25,45.0,90,-1,0,0.0,0,0,-1
1,53,258,66,33.0,86.0,64.95382976,161,48,48.0,0.0,48,49,49.0,49,64,7751.937984,7751.937984,139,75.4,58.0585911,3370.8,94.25,33.0,66,-1,0,0.0,0,0,-1
2,53,61023,64,64.0,61023.0,0.0,61023,0,0.0,0.0,0,0,0.0,0,32,16.38726382,16.38726382,117,81.66666667,30.59956427,936.3333332999997,122.5,64.0,64,-1,0,0.0,0,0,-1
3,35612,72,0,0.0,72.0,0.0,72,0,0.0,0.0,0,0,0.0,0,32,13888.88889,13888.88889,0,0.0,0.0,0.0,0.0,0.0,0,115,0,0.0,0,0,-1
4,48216,65,0,0.0,65.0,0.0,65,0,0.0,0.0,0,0,0.0,0,32,15384.61538,15384.61538,0,0.0,0.0,0.0,0.0,0.0,0,130,0,0.0,0,0,-1
5,53,60882,57,57.0,60882.0,0.0,60882,0,0.0,0.0,0,0,0.0,0,32,16.42521599,16.42521599,281,131.6666667,129.32646029999998,16725.33333,197.5,57.0,57,-1,0,0.0,0,0,-1
6,1433,48,4,2.0,48.0,0.0,48,48,48.0,0.0,48,0,0.0,0,48,41666.66667,0.0,2,2.0,0.0,0.0,3.0,2.0,4,1024,0,0.0,0,0,-1
7,80,9460606,528,105.6,1576767.667,2151493.133,4428464,9460606,2365151.5,2294379.881,4428464,4598472,4598472.0,4598472,112,0.52850737,0.211402948,528,117.125,219.1929597,48045.55357,133.8571429,105.6,528,8192,0,0.0,0,0,-1
8,80,5283778,12,4.0,1761259.333,3018495.737,5246653,5283778,2641889.0,3683692.576,5246653,0,0.0,0,72,0.567775558,0.189258519,6,2.4,3.286335345,10.8,3.0,4.0,12,8192,0,0.0,0,0,-1
9,53,149,64,32.0,49.66666667,80.83522335,143,4,4.0,0.0,4,2,2.0,2,64,13422.81879,13422.81879,48,38.4,8.76356092,76.8,48.0,32.0,64,-1,0,0.0,0,0,-1
10,53,30627,154,77.0,10209.0,17676.4445237157,30620,3,3.0,0.0,3,4,4.0,4,40,65.3018578379,65.3018578379,159,109.8,44.9132497154,2017.2,137.25,77.0,154,-1,0,0.0,0,0,-1
11,58343,4,37,12.333333333299999,2.0,1.4142135624,3,4,2.0,1.4142135624,3,0,0.0,0,96,750000.0,0.0,37,9.25,18.5,342.25,12.333333333299999,12.333333333299999,37,114,0,0.0,0,0,-1
12,53,80145541,93,46.5,26700000.0,45300000.0,79000000,79100000,79100000.0,0.0,79100000,80100000,80100000.0,80100000,52,0.024954601,0.024954601,129,68.4,35.21789318,1240.3,85.5,46.5,93,-1,30516,79000000.0,79000000,79000000,-1
13,53,60461,66,33.0,20153.6666666667,34863.0145904415,60410,48,48.0,0.0,48,3,3.0,3,80,33.079175005399996,33.079175005399996,225,109.8,105.162731041,11059.2,137.25,33.0,66,-1,0,0.0,0,0,-1
14,443,439677,1650,275.0,39970.63636,67515.82613,145280,294180,58836.0,78964.60732000001,145351,294397,58879.4,148381,200,13.64638132,13.64638132,1082,224.0769231,405.2726369,164245.9103,242.75,275.0,1650,29200,0,0.0,0,0,-1
15,443,503138,1328,120.7272727,22869.90909,45579.50257,119000,503026,50302.6,60702.52169,125037,384174,34924.90909,130189,240,21.86278914,23.85031542,1657,576.5416667000002,662.9209396000001,439464.1721,601.6086957,120.7272727,1328,29200,0,0.0,0,0,-1
16,443,5231270,635,90.71428571,581252.2222,1578835.819,4786457,5231270,871878.3333,2023442.194,5000616,329936,164968.0,214563,232,1.33810719,0.57347451,517,72.0,156.0269208,24344.4,79.2,90.71428571,635,29200,0,0.0,0,0,-1
17,63471,3,37,18.5,3.0,0.0,3,3,3.0,0.0,3,0,0.0,0,40,666666.666666667,0.0,31,22.6666666667,14.4337567297,208.3333333333,34.0,18.5,37,110,0,0.0,0,0,-1
18,80,65413451,490,44.54545455,3442813.211,4724058.836,10000000,65400000,6541345.1,4722540.807,10000000,60100000,7515899.75,10000000,232,0.168161132,0.137586381,866,64.85714286,206.4069489,42603.82857,68.1,44.54545455,490,8192,15021,9318118.857,10000000,5270961,-1
19,138,23,3081,237.0,1.9166666667,1.975225342,8,23,1.9166666667,1.975225342,8,0,0.0,0,416,565217.391304348,0.0,237,237.0,0.0,0.0,255.2307692308,237.0,3081,-1,0,0.0,0,0,-1
20,443,30756392,3020,56.98113208,246051.13600000003,2679868.682,30000000,30800000,591469.0769,4153749.772,30000000,757586,10522.02778,167992,1708,1.72321903,2.373490363,4344,993.3858268,1077.67694,1161387.588,1001.269841,56.98113208,3020,65535,788713,30000000.0,30000000,30000000,-1
21,34319,1010380,29,14.5,336793.333333333,583293.8020931929,1010323,1010380,1010380.0,0.0,1010380,3,3.0,3,40,1.979453275,1.979453275,23,9.4,7.6026311235,57.8,11.75,14.5,29,40935,0,0.0,0,0,-1
22,80,23219,0,0.0,11609.5,12126.17419,20184,0,0.0,0.0,0,3035,3035.0,3035,32,43.06817692,86.13635385,0,0.0,0.0,0.0,0.0,0.0,0,229,0,0.0,0,0,-1
23,80,143504,398,132.6666667,17938.0,46993.0435,133992,8998,4499.0,6355.475749,8993,143379,28675.8,133992,104,20.90534062,41.81068124,5792,1199.3,1883.692122,3548296.0110000004,1332.555556,132.6666667,398,29200,0,0.0,0,0,1
24,443,5525131,377,47.125,460427.5833,1539023.91,5346983,5525131,789304.4286,2009983.22,5346983,82341,20585.25,42318,172,1.44792947,0.904955919,1581,263.0,539.5719101,291137.8462,283.2307692,47.125,377,8192,178144,5346983.0,5346983,5346983,-1
25,53,48176,100,50.0,16058.66667,27809.23042,48170,3,3.0,0.0,3,3,3.0,3,40,41.51444703,41.51444703,111,74.4,33.41107601,1116.3,93.0,50.0,100,-1,0,0.0,0,0,-1
26,34174,61,0,0.0,61.0,0.0,61,0,0.0,0.0,0,0,0.0,0,32,16393.442619999998,16393.442619999998,0,0.0,0.0,0.0,0.0,0.0,0,285,0,0.0,0,0,-1
27,443,11132130,4786,85.4642857143,74214.2,816345.990296258,9988835,11132130,202402.363636364,1346281.12693535,9988919,11111386,118206.23404255301,9998593,1800,5.0304838337,8.533856503700001,2896,789.4605263158,866.2017482261999,750305.468630185,794.6887417219,85.4642857143,4786,29200,1143211,9988835.0,9988835,9988835,-1
28,80,2101983,1703,425.75,300283.2857,736964.8973,1970780,131203,43734.33333,40632.62409,80698,2051823,683941.0,1999822,92,1.902964962,1.902964962,1703,212.8888889,563.2143119,317210.3611,239.5,425.75,1703,8192,0,0.0,0,0,-1
29,53,30462,61,61.0,30462.0,0.0,30462,0,0.0,0.0,0,0,0.0,0,32,32.8277854376,32.8277854376,89,70.3333333333,16.1658075373,261.3333333333,105.5,61.0,61,-1,0,0.0,0,0,-1
30,53,49433,56,56.0,49433.0,0.0,49433,0,0.0,0.0,0,0,0.0,0,32,20.22940141,20.22940141,116,76.0,34.64101615,1200.0,114.0,56.0,56,-1,0,0.0,0,0,-1
31,80,98822769,327,54.5,8983888.091,29800000.0,98800000,98800000,19800000.0,44200000.0,98800000,5534,1106.8,4444,200,0.060714753,0.060714753,4344,917.0769231,1715.1566239999993,2941762.244,993.5,54.5,327,251,4,98800000.0,98800000,98800000,1
